32,1.206600
32,1.186000
32,0.861500
32,0.573600
32,0.601100
32,0.673600
32,0.612600
32,0.746200
32,0.592500
64,1.916000
64,1.980800
64,1.938100
64,2.145900
64,1.993100
64,1.850200
64,1.859500
64,1.961900
64,2.222700
64,1.883900
128,6.689100
128,2.520100
128,2.716000
128,2.773800
128,4.245300
128,2.446100
128,2.461900
128,2.438700
128,3.408600
128,3.026200
256,12.964900
256,16.542200
256,24.378400
256,12.175800
256,13.212300
256,11.928400
256,13.083300
256,25.863500
256,28.507100
256,12.163200
512,48.595800
512,56.201900
512,99.812500
512,47.207800
512,47.781000
512,47.727400
512,48.678400
512,104.407500
512,65.127200
512,48.421600
1024,206.405100
1024,332.121500
1024,202.661400
1024,213.393800
1024,217.800400
1024,214.914300
1024,200.761700
1024,201.093500
1024,196.466200
1024,196.607300
2048,791.091000
2048,766.031200
2048,767.106300
2048,791.580100
2048,832.295200
2048,807.400900
2048,791.543500
2048,797.285600
2048,803.315500
2048,797.315100
4096,3204.345500
4096,3179.105800
4096,3083.198800
4096,3145.873300
4096,3126.227700
4096,3092.607900
4096,3051.751500
4096,3086.852600
4096,3078.305300
4096,3263.124900
8192,17323.448200
8192,15166.172900
8192,13070.705300
8192,17965.791600
8192,17814.834900
8192,16847.782700
8192,12178.858200
8192,12132.270700
8192,16004.168100
8192,15362.771700
